ID,Fecha,Tipo,Descripción,Estado,Prioridad,Notas
BUG-001,2025-07-12,UI,Layout no responsive en ventanas pequeñas,Abierto,Media,Revisar constraints del layout
BUG-002,2025-07-12,Audio,Posible delay en síntesis de voz,Abierto,Baja,Optimizar llamadas a 'say'
BUG-003,2025-07-12,Network,Timeout en feeds RSS lentos,Abierto,Media,Implementar timeout configurable
BUG-004,2025-07-12,DB,Posibles locks en SQLite concurrente,Abierto,Alta,Implementar connection pooling
BUG-005,2025-07-12,YouTube,Algunos videos sin transcripción,Abierto,Media,Fallback a whisper local
BUG-006,2025-07-13,Audio,Archivos de audio no se reproducen en player embebido,Resuelto,Alta,Pygame no soporta M4A/AIFF - Solucionado convirtiendo TTS a WAV
BUG-007,2025-07-13,UI,Botón de eliminación en diálogo de confirmación no se activa,Resuelto,Media,Problema en comparación de estado del checkbox - Corregido usando state == 2
FEAT-001,2025-07-13,Feature,Editor de contenido para personalizar texto de audio,Implementado,Alta,Diálogo con preview - acceso por doble-clic y menú contextual
FEAT-002,2025-07-13,Feature,Sistema de análisis inteligente de contenido y resúmenes,Implementado,Alta,Algoritmo de ranking con detección de idioma y frases clave
FEAT-003,2025-07-13,Feature,Integración con Apple Intelligence para resúmenes,Implementado,Alta,Servidor local OpenAI-compatible - Fallback a método tradicional
FEAT-003,2025-07-13,Feature,Eliminación avanzada de fuentes con todos sus contenidos,Implementado,Alta,Diálogo de confirmación detallado + eliminación segura de archivos y BD
